Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal FC,23,26.5,53.0,15,165,1350,15.0,28,23,51,26,2,2,37,3,302,663,1.87,1.53,3.4,1.73,3.27,1.71,1.3,03.01,1.61,2.91
Aston Villa FC,23,27.5,50.5,15,165,1350,15.0,22,17,39,21,1,2,37,1,275,514,1.47,1.13,2.6,1.4,2.53,1.67,1.24,2.91,1.57,2.81
AFC Bournemouth,25,26.0,44.9,15,165,1350,15.0,23,16,39,19,4,5,38,0,279,607,1.53,01.07,2.6,1.27,2.33,02.03,1.39,3.42,1.77,3.16
Brentford FC,22,26.5,47.5,15,165,1350,15.0,31,19,50,29,2,2,23,1,218,535,02.07,1.27,3.33,1.93,3.2,1.59,1.13,2.72,1.48,2.62
Brighton & Hove Albion FC,28,25.9,52.7,15,165,1350,15.0,25,17,42,25,0,0,34,1,314,639,1.67,1.13,2.8,1.67,2.8,1.47,01.02,2.49,1.47,2.49
Chelsea FC,24,23.9,56.1,15,165,1350,15.0,35,26,61,32,3,3,50,0,340,591,2.33,1.73,04.07,2.13,3.87,2.13,1.58,3.71,1.97,3.55
Crystal Palace FC,25,26.5,44.0,15,165,1350,15.0,13,10,23,12,1,1,35,1,220,519,0.87,0.67,1.53,0.8,1.47,1.31,01.02,2.33,1.26,2.28
Everton FC,24,29.1,41.1,14,154,1260,14.0,12,7,19,12,0,0,23,1,198,411,0.86,0.5,1.36,0.86,1.36,01.05,0.82,1.87,01.05,1.87
Fulham FC,23,28.3,51.6,15,165,1350,15.0,21,19,40,20,1,2,37,2,303,616,1.4,1.27,2.67,1.33,2.6,1.38,01.09,2.47,1.28,2.36
Ipswich Town FC,28,26.4,42.8,15,165,1350,15.0,14,11,25,14,0,0,42,2,202,387,0.93,0.73,1.67,0.93,1.67,0.94,0.72,1.66,0.94,1.66
Leicester City FC,24,26.8,46.5,15,165,1350,15.0,21,17,38,19,2,2,38,0,238,445,1.4,1.13,2.53,1.27,2.4,01.08,0.86,1.95,0.98,1.85
Liverpool FC,23,27.4,56.6,14,154,1260,14.0,29,22,51,25,4,4,31,0,290,601,02.07,1.57,3.64,1.79,3.36,02.04,1.43,3.48,1.82,3.25
Manchester United FC,22,27.7,63.4,15,165,1350,15.0,27,20,47,26,1,1,34,1,521,861,1.8,1.33,3.13,1.73,03.07,1.92,1.62,3.54,1.86,3.49
Manchester City FC,25,26.4,54.3,15,165,1350,15.0,18,16,34,17,1,1,38,1,257,572,1.2,01.07,2.27,1.13,2.2,1.4,1.15,2.55,1.35,2.5
Newcastle United FC,20,27.5,49.5,15,165,1350,15.0,18,16,34,17,1,2,33,1,269,580,1.2,01.07,2.27,1.13,2.2,1.44,1.13,2.56,1.33,2.46
Nottingham Forest FC,23,27.0,40.3,15,165,1350,15.0,19,11,30,17,2,2,39,2,266,414,1.27,0.73,2.0,1.13,1.87,1.2,0.82,02.02,1.1,1.92
Tottenham Hotspur FC,31,26.2,53.7,15,165,1350,15.0,11,7,18,11,0,2,48,3,289,500,0.73,0.47,1.2,0.73,1.2,01.07,0.8,1.87,0.95,1.76
Southampton FC,24,26.0,58.2,15,165,1350,15.0,29,25,54,29,0,0,32,0,379,753,1.93,1.67,3.6,1.93,3.6,1.88,1.48,3.36,1.88,3.36
West Ham United FC,23,28.9,46.9,15,165,1350,15.0,19,11,30,17,2,2,40,2,273,524,1.27,0.73,2.0,1.13,1.87,1.43,0.95,2.38,1.32,2.28
Wolverhampton Wanderers FC,24,27.3,46.2,15,165,1350,15.0,23,20,43,23,0,0,40,0,212,428,1.53,1.33,2.87,1.53,2.87,01.03,0.88,1.91,01.03,1.91